服务表,服务id,服务名字,emun,是否启用,关闭路由策略
Server,int,string,string,bool,int
Client,,,,,
VariableName,id,name,enum_key,enable,policy
Start,1,lobby,LOBBY,1,-1
,11,login,LOGIN,1,-1
,12,gateway,GATEWAY,1,-1
,13,router,ROUTER,1,0
,14,online,ONLINE,1,-1
,15,center,CENTER,1,-1
,16,discover,DISCOVER,1,-1
,17,cache,CACHE,1,-1
,28,mongo,MONGO,1,-1
,29,redis,REDIS,1,-1
,30,mysql,MYSQL,0,-1
,31,test,TEST,1,-1
,32,tool,TOOL,0,-1
